roi_value roi_name
2101 rh_precuneus_part5
2102 rh_precuneus_part6
2103 rh_precuneus_part7
2104 rh_rostralanteriorcingulate_part1
2105 rh_rostralmiddlefrontal_part1
2106 rh_rostralmiddlefrontal_part2
2107 rh_rostralmiddlefrontal_part3
2108 rh_rostralmiddlefrontal_part4
2109 rh_rostralmiddlefrontal_part5
2110 rh_rostralmiddlefrontal_part6
2111 rh_rostralmiddlefrontal_part7
2112 rh_rostralmiddlefrontal_part8
2113 rh_rostralmiddlefrontal_part9
2114 rh_rostralmiddlefrontal_part10
2115 rh_superiorfrontal_part1
2116 rh_superiorfrontal_part2
2117 rh_superiorfrontal_part3
2118 rh_superiorfrontal_part4
2119 rh_superiorfrontal_part5
2120 rh_superiorfrontal_part6
2121 rh_superiorfrontal_part7
2122 rh_superiorfrontal_part8
2123 rh_superiorfrontal_part9
2124 rh_superiorfrontal_part10
2125 rh_superiorfrontal_part11
2126 rh_superiorfrontal_part12
2127 rh_superiorfrontal_part13
2128 rh_superiorparietal_part1
2129 rh_superiorparietal_part2
2130 rh_superiorparietal_part3
2131 rh_superiorparietal_part4
2132 rh_superiorparietal_part5
2133 rh_superiorparietal_part6
2134 rh_superiorparietal_part7
2135 rh_superiorparietal_part8
2136 rh_superiorparietal_part9
2137 rh_superiorparietal_part10
2138 rh_superiortemporal_part1
2139 rh_superiortemporal_part2
2140 rh_superiortemporal_part3
2141 rh_superiortemporal_part4
2142 rh_superiortemporal_part5
2143 rh_superiortemporal_part6
2144 rh_supramarginal_part1
2145 rh_supramarginal_part2
2146 rh_supramarginal_part3
2147 rh_supramarginal_part4
2148 rh_supramarginal_part5
2149 rh_supramarginal_part6
2150 rh_supramarginal_part7
2151 rh_frontalpole_part1
2152 rh_temporalpole_part1
2153 rh_transversetemporal_part1
2154 rh_insula_part1
2155 rh_insula_part2
2156 rh_insula_part3
2157 rh_insula_part4
